Major,Early Career Pay,Mid-Career Pay,Meaningfulness0,Petroleum Engineering,"$93,200","$187,300",67%
Hospital Administration,"$51,200","$78,200",57%
Film Production,"$44,600","$78,100",33%
Marine Biology,"$43,300","$78,100",66%
Zoology,"$42,100","$77,900",67%
Communication Design,"$51,700","$77,800",34%
Leadership,"$47,200","$77,500",57%
Music Technology,"$44,800","$77,500",39%
Musicology,"$40,000","$77,500",-
Technical Writing,"$53,300","$77,500",42%
Agricultural Communication,"$44,600","$77,400",52%
Logistics Management,"$56,300","$77,400",49%
German Language & Literature,"$49,400","$77,300",47%
Administration,"$44,600","$77,100",58%
Apparel Merchandising,"$47,600","$77,100",35%
Computer Aided Drafting & Design (CADD),"$49,100","$77,100",52%
Organizational Leadership & Supervision,"$49,600","$77,100",51%
Printing Technology,"$46,200","$77,100",-
Spanish Language,"$47,700","$77,100",51%
Multimedia,"$44,700","$77,000",45%
Spanish Language Teacher Education,"$45,500","$76,900",73%
Public Administration,"$46,700","$76,900",57%
Human Nutrition,"$48,600","$76,900",85%
Audio Engineering,"$48,300","$76,800",39%
Graphics Technology & Management,"$39,500","$76,800",38%
Physical Anthropology,"$52,900","$76,800",51%
Organizational Leadership,"$50,500","$76,700",58%
Environmental Health Science,"$53,800","$76,600",61%
Health Sciences,"$44,600","$76,600",70%
Journalism & Electronic Media,"$45,200","$76,500",48%
Religious Studies,"$43,900","$76,300",55%
Art History,"$46,600","$76,200",45%
Radiologic Science,"$57,600","$76,200",81%
3D Animation,"$51,800","$76,000",42%
Culture Studies,"$48,100","$75,900",40%
Merchandising,"$53,100","$75,900",31%
Administrative Management,"$52,700","$75,800",50%
Human Resources (HR),"$47,300","$75,800",56%
Liberal Arts,"$44,500","$75,800",53%
Adult Education & Training,"$48,700","$75,600",79%
Fashion Merchandising,"$46,900","$75,600",29%
Health & Fitness,"$39,800","$75,600",67%
Natural Resources,"$47,400","$75,500",64%
Organizational Management,"$48,800","$75,500",57%
Modern Languages,"$50,300","$75,400",53%
Natural Resource Management,"$46,500","$75,400",60%
Retail Management,"$50,100","$75,400",35%
Sociology & Anthropology,"$44,500","$75,400",50%
Creative Writing,"$45,300","$75,200",41%
Criminal Justice Administration,"$45,700","$75,100",56%
Ethnic Studies,"$47,500","$74,900",63%
Philosophy & Religious Studies,"$49,300","$74,900",61%
Radiology,"$54,800","$74,900",80%
Medical Laboratory Technology,"$56,900","$74,400",82%
Sports Management,"$45,400","$74,400",43%
Anthropology & English,"$48,000","$74,300",-
Broadcast Communication,"$40,000","$74,300",44%
Criminology,"$44,700","$74,300",54%
Earth Science,"$50,000","$74,300",48%
Media & Technology,"$45,200","$74,300",43%
Visual Communications,"$45,400","$74,300",38%
Advertising & Graphic Design,"$46,800","$74,200",37%
Applied Behavior Analysis,"$38,700","$74,200",81%
Psychology,"$44,700","$74,200",56%
Applied Management,"$45,500","$74,100",53%
Hotel & Restaurant Management,"$47,300","$74,100",48%
Anthropology,"$46,400","$73,900",46%
Arts Management,"$39,400","$73,800",48%
Diagnostic Medical Imaging,"$60,600","$73,800",73%
Communication Arts,"$42,400","$73,600",39%
Middle Eastern Studies,"$57,100","$73,600",48%
Radiologic Technology,"$55,200","$73,600",83%
Painting & Printmaking,"$34,700","$73,600",41%
Cardiopulmonary Science,"$48,900","$73,400",90%
Human Relations,"$45,000","$73,400",63%
Humanities,"$48,500","$73,200",49%
Health Care Administration,"$45,800","$73,100",69%
Health Care Management,"$46,700","$73,000",72%
Life Sciences,"$53,100","$73,000",64%
Ecology,"$46,400","$72,900",57%
Media Arts,"$46,500","$72,900",34%
Respiratory Care,"$54,800","$72,800",84%
Art & Design,"$45,100","$72,700",38%
Health Information Management,"$49,000","$72,700",69%
Hospitality Management,"$46,400","$72,700",43%
Health Teacher Education,"$37,900","$72,600",46%
Sports Medicine,"$50,100","$72,600",77%
Multimedia & Web Design,"$50,200","$72,600",34%
Sociology,"$46,200","$72,500",55%
